Ano;Município;Código do Município;Vínculo Funcional;Federal;Estadual;Municipal
2022;Ecoporanga ;3202108;Contrato terceirizado;0;0;0
2022;Fundão ;3202207;Contrato terceirizado;0;0;1
2022;Governador Lindenberg ;3202256;Contrato terceirizado;0;0;0
2022;Guaçuí ;3202306;Contrato terceirizado;0;0;0
2022;Guarapari ;3202405;Contrato terceirizado;0;0;3
2022;Ibatiba ;3202454;Contrato terceirizado;1;0;1
2022;Ibiraçu ;3202504;Contrato terceirizado;0;0;0
2022;Ibitirama ;3202553;Contrato terceirizado;0;0;1
2022;Iconha ;3202603;Contrato terceirizado;0;0;0
2022;Irupi ;3202652;Contrato terceirizado;0;0;0
2022;Itaguaçu ;3202702;Contrato terceirizado;0;0;0
2022;Itapemirim ;3202801;Contrato terceirizado;0;0;0
2022;Itarana ;3202900;Contrato terceirizado;0;0;0
2022;Iúna ;3203007;Contrato terceirizado;0;0;0
2022;Jaguaré ;3203056;Contrato terceirizado;0;0;1
2022;Jerônimo Monteiro ;3203106;Contrato terceirizado;0;0;0
2022;João Neiva ;3203130;Contrato terceirizado;0;0;0
2022;Laranja da Terra ;3203163;Contrato terceirizado;0;0;0
2022;Linhares ;3203205;Contrato terceirizado;0;0;1
2022;Mantenópolis ;3203304;Contrato terceirizado;0;0;1
2022;Marataízes ;3203320;Contrato terceirizado;0;0;0
2022;Marechal Floriano ;3203346;Contrato terceirizado;0;0;0
2022;Marilândia ;3203353;Contrato terceirizado;0;0;0
2022;Mimoso do Sul ;3203403;Contrato terceirizado;0;0;0
2022;Montanha ;3203502;Contrato terceirizado;0;0;0
2022;Mucurici ;3203601;Contrato terceirizado;0;0;0
2022;Muniz Freire ;3203700;Contrato terceirizado;0;0;0
2022;Muqui ;3203809;Contrato terceirizado;0;0;0
2022;Nova Venécia ;3203908;Contrato terceirizado;0;0;2
2022;Pancas ;3204005;Contrato terceirizado;0;0;0
2022;Pedro Canário ;3204054;Contrato terceirizado;0;0;1
2022;Pinheiros ;3204104;Contrato terceirizado;0;0;0
2022;Piúma ;3204203;Contrato terceirizado;0;0;1
2022;Ponto Belo ;3204252;Contrato terceirizado;0;0;0
2022;Presidente Kennedy ;3204302;Contrato terceirizado;0;0;2
2022;Rio Bananal ;3204351;Contrato terceirizado;0;0;0
2022;Rio Novo do Sul ;3204401;Contrato terceirizado;0;0;0
2022;Santa Leopoldina ;3204500;Contrato terceirizado;0;0;0
2022;Santa Maria de Jetibá ;3204559;Contrato terceirizado;0;0;0
2022;Santa Teresa ;3204609;Contrato terceirizado;0;0;0
2022;São Domingos do Norte ;3204658;Contrato terceirizado;0;0;0
2022;São Gabriel da Palha ;3204708;Contrato terceirizado;0;0;0
2022;São José do Calçado ;3204807;Contrato terceirizado;0;0;0
2022;São Mateus ;3204906;Contrato terceirizado;0;0;0
2022;São Roque do Canaã ;3204955;Contrato terceirizado;0;0;0
2022;Serra ;3205002;Contrato terceirizado;0;0;12
2022;Sooretama ;3205010;Contrato terceirizado;0;0;0
2022;Vargem Alta ;3205036;Contrato terceirizado;0;0;0
2022;Venda Nova do Imigrante ;3205069;Contrato terceirizado;0;0;0
2022;Viana ;3205101;Contrato terceirizado;0;0;5
2022;Vila Pavão ;3205150;Contrato terceirizado;0;0;0
2022;Vila Valério ;3205176;Contrato terceirizado;0;0;0
2022;Vila Velha ;3205200;Contrato terceirizado;0;2;8
2022;Vitória ;3205309;Contrato terceirizado;0;0;0
2022;Afonso Cláudio ;3200102;Contrato CLT;0;0;9
2022;Água Doce do Norte ;3200169;Contrato CLT;0;0;0
2022;Águia Branca ;3200136;Contrato CLT;0;0;0
2022;Alegre ;3200201;Contrato CLT;0;0;0
2022;Alfredo Chaves ;3200300;Contrato CLT;0;0;0
2022;Alto Rio Novo ;3200359;Contrato CLT;0;0;0
2022;Anchieta ;3200409;Contrato CLT;0;0;0
2022;Apiacá ;3200508;Contrato CLT;0;0;0
2022;Aracruz ;3200607;Contrato CLT;0;0;1
2022;Atílio Vivácqua ;3200706;Contrato CLT;0;0;0
2022;Baixo Guandu ;3200805;Contrato CLT;0;0;0
2022;Barra de São Francisco ;3200904;Contrato CLT;0;0;0
2022;Boa Esperança ;3201001;Contrato CLT;0;0;0
2022;Bom Jesus do Norte ;3201100;Contrato CLT;0;0;0
2022;Brejetuba ;3201159;Contrato CLT;0;0;0
2022;Cachoeiro de Itapemirim ;3201209;Contrato CLT;0;0;2
2022;Cariacica ;3201308;Contrato CLT;0;0;19
2022;Castelo ;3201407;Contrato CLT;0;0;0
2022;Colatina ;3201506;Contrato CLT;0;0;10
2022;Conceição da Barra ;3201605;Contrato CLT;0;0;0
2022;Conceição do Castelo ;3201704;Contrato CLT;0;0;0
2022;Divino de São Lourenço ;3201803;Contrato CLT;0;0;0
2022;Domingos Martins ;3201902;Contrato CLT;0;0;0
2022;Dores do Rio Preto ;3202009;Contrato CLT;0;0;0
2022;Ecoporanga ;3202108;Contrato CLT;0;0;0
2022;Fundão ;3202207;Contrato CLT;0;0;0
2022;Governador Lindenberg ;3202256;Contrato CLT;0;0;0
2022;Guaçuí ;3202306;Contrato CLT;0;0;0
2022;Guarapari ;3202405;Contrato CLT;0;0;11
2022;Ibatiba ;3202454;Contrato CLT;0;0;0
2022;Ibiraçu ;3202504;Contrato CLT;0;0;0
2022;Ibitirama ;3202553;Contrato CLT;0;0;0
2022;Iconha ;3202603;Contrato CLT;0;0;0
2022;Irupi ;3202652;Contrato CLT;0;0;10
2022;Itaguaçu ;3202702;Contrato CLT;0;0;16
2022;Itapemirim ;3202801;Contrato CLT;0;0;0
2022;Itarana ;3202900;Contrato CLT;0;0;0
2022;Iúna ;3203007;Contrato CLT;0;0;16
2022;Jaguaré ;3203056;Contrato CLT;0;0;0
2022;Jerônimo Monteiro ;3203106;Contrato CLT;0;0;0
2022;João Neiva ;3203130;Contrato CLT;0;0;0
2022;Laranja da Terra ;3203163;Contrato CLT;0;0;0
2022;Linhares ;3203205;Contrato CLT;0;0;0
2022;Mantenópolis ;3203304;Contrato CLT;0;0;3
2022;Marataízes ;3203320;Contrato CLT;0;0;1
2022;Marechal Floriano ;3203346;Contrato CLT;0;0;0
2022;Marilândia ;3203353;Contrato CLT;0;0;0
2022;Mimoso do Sul ;3203403;Contrato CLT;0;0;0
2022;Montanha ;3203502;Contrato CLT;0;0;1
2022;Mucurici ;3203601;Contrato CLT;0;0;0
2022;Muniz Freire ;3203700;Contrato CLT;0;0;0
2022;Muqui ;3203809;Contrato CLT;0;0;0
2022;Nova Venécia ;3203908;Contrato CLT;0;1;0
2022;Pancas ;3204005;Contrato CLT;0;0;0
2022;Pedro Canário ;3204054;Contrato CLT;0;0;0
2022;Pinheiros ;3204104;Contrato CLT;0;0;1
2022;Piúma ;3204203;Contrato CLT;0;0;0
2022;Ponto Belo ;3204252;Contrato CLT;0;0;0
2022;Presidente Kennedy ;3204302;Contrato CLT;0;0;0
2022;Rio Bananal ;3204351;Contrato CLT;0;0;0
2022;Rio Novo do Sul ;3204401;Contrato CLT;0;0;0
2022;Santa Leopoldina ;3204500;Contrato CLT;0;0;10
2022;Santa Maria de Jetibá ;3204559;Contrato CLT;5;0;9
2022;Santa Teresa ;3204609;Contrato CLT;0;0;0
2022;São Domingos do Norte ;3204658;Contrato CLT;0;0;0
2022;São Gabriel da Palha ;3204708;Contrato CLT;0;0;0
2022;São José do Calçado ;3204807;Contrato CLT;0;0;0
2022;São Mateus ;3204906;Contrato CLT;0;0;0
2022;São Roque do Canaã ;3204955;Contrato CLT;0;0;0
2022;Serra ;3205002;Contrato CLT;0;0;45
2022;Sooretama ;3205010;Contrato CLT;0;0;33
2022;Vargem Alta ;3205036;Contrato CLT;0;0;0
2022;Venda Nova do Imigrante ;3205069;Contrato CLT;0;2;1
2022;Viana ;3205101;Contrato CLT;0;0;0
2022;Vila Pavão ;3205150;Contrato CLT;0;0;0
2022;Vila Valério ;3205176;Contrato CLT;0;0;0
2022;Vila Velha ;3205200;Contrato CLT;0;0;9
2022;Vitória ;3205309;Contrato CLT;33;0;2
2023;Afonso Cláudio ;3200102;Concursado/efetivo/estável;0;17;132
2023;Água Doce do Norte ;3200169;Concursado/efetivo/estável;0;7;34
2023;Águia Branca ;3200136;Concursado/efetivo/estável;0;5;15
2023;Alegre ;3200201;Concursado/efetivo/estável;51;45;106
2023;Alfredo Chaves ;3200300;Concursado/efetivo/estável;0;9;65
2023;Alto Rio Novo ;3200359;Concursado/efetivo/estável;0;5;21
